[10:57:23] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[10:57:26] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[10:57:26] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[10:57:26] [ServerMain/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[10:57:26] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[10:57:26] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[10:57:28] [Worker-Main-2/INFO]: Loaded 7 recipes
[10:57:28] [Worker-Main-2/INFO]: Loaded 1141 advancements
[10:57:31] [Server thread/INFO]: Starting minecraft server version 1.18.2
[10:57:31] [Server thread/INFO]: Loading properties
[10:57:31] [Server thread/INFO]: Default game type: SURVIVAL
[10:57:31] [Server thread/INFO]: Generating keypair
[10:57:31] [Server thread/INFO]: Starting Minecraft server on *:25565
[10:57:31] [Server thread/INFO]: Using epoll channel type
[10:57:32] [Server thread/INFO]: Preparing level "world"
[10:57:52] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[10:57:54] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:57:54] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:57:54] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:57:54] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:57:55] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:57:55] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:57:55] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:57:56] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:57:56] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:57:57] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:57:57] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:57:58] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:57:58] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:57:59] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:57:59] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:00] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:00] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:01] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:01] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:58:02] [Worker-Main-2/INFO]: Preparing spawn area: 0%
